0	-7.04863
0.30103	-0.522879
0.477121	-0.353736
0.60206	-0.278857
0.69897	-0.236021
0.778151	-0.208171
0.845098	-0.18858
0.90309	-0.174037
0.954243	-0.162808
1	-0.153875
1.04139	-0.146597
1.07918	-0.140552
1.11394	-0.135452
1.14613	-0.13109
1.17609	-0.127317
1.20412	-0.124022
1.23045	-0.121118
1.25527	-0.11854
1.27875	-0.116236
1.30103	-0.114164
1.32222	-0.112292
1.34242	-0.110591
1.36173	-0.109039
1.38021	-0.107617
1.39794	-0.10631
1.41497	-0.105104
1.43136	-0.103987
1.44716	-0.102951
1.4624	-0.101987
1.47712	-0.101088
1.49136	-0.100247
1.50515	-0.0994584
1.51851	-0.0987182
1.53148	-0.0980216
1.54407	-0.0973649
1.5563	-0.096745
1.5682	-0.0961587
1.57978	-0.0956034
1.59106	-0.0950767
1.60206	-0.0945765
1.61278	-0.0941007
1.62325	-0.0936477
1.63347	-0.0932159
1.64345	-0.0928037
1.65321	-0.0924098
1.66276	-0.0920332
1.6721	-0.0916726
1.68124	-0.0913271
1.6902	-0.0909958
1.69897	-0.0906778
1.70757	-0.0903723
1.716	-0.0900787
1.72428	-0.0897961
1.73239	-0.089524
1.74036	-0.0892619
1.74819	-0.089009
1.75587	-0.088765
1.76343	-0.0885296
1.77085	-0.0883021
1.77815	-0.0880823
1.78533	-0.0878697
1.79239	-0.087664
1.79934	-0.0874648
1.80618	-0.0872719
1.81291	-0.0870849
1.81954	-0.0869035
1.82607	-0.0867276
1.83251	-0.086557
1.83885	-0.0863911
1.8451	-0.0862301
1.85126	-0.0860737
1.85733	-0.0859214
1.86332	-0.0857734
1.86923	-0.0856295
1.87506	-0.0854893
1.88081	-0.085353
1.88649	-0.0852201
1.89209	-0.0850907
1.89763	-0.0849645
1.90309	-0.0848415
1.90849	-0.0847216
1.91381	-0.0846046
1.91908	-0.0844905
1.92428	-0.084379
1.92942	-0.0842702
1.9345	-0.0841638
1.93952	-0.0840599
1.94448	-0.0839584
1.94939	-0.0838591
1.95424	-0.083762
1.95904	-0.0836671
1.96379	-0.0835743
1.96848	-0.0834836
1.97313	-0.0833947
1.97772	-0.0833078
1.98227	-0.0832226
1.98677	-0.0831392
1.99123	-0.0830574
1.99564	-0.0829773
2	-0.0828989
2.00432	-0.082822
2.0086	-0.0827467
2.01284	-0.0826728
2.01703	-0.0826003
